상호명,주소,전화번호,영업시간
정선콩국수 소소정,서울 서초구 동광로 68 1층 정선콩국수 소소정,0507-1433-8667,"['매일\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:20 라스트오더', '- 8월 6일은 휴가 입니다 7일부터 운영 합니다']"
김영희강남동태찜 이수점,서울 서초구 서초대로 3-4 b1 강남동태,0507-1304-0890,"['월\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:30 라스트오더', '화\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:30 라스트오더', '수\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:30 라스트오더', '목\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:30 라스트오더', '금\n11:00 - 22:00\n15:00 - 16:30 브레이크타임\n21:30 라스트오더', '토\n11:00 - 22:00\n21:30 라스트오더', '일\n11:00 - 22:00\n21:30 라스트오더']"
팔각도 이수역점,서울 동작구 동작대로27다길 12 1층,0507-1340-0420,['매일\n11:30 - 23:00\n22:10 라스트오더']
애플하우스,서울 동작구 동작대로27다길 29 2층,02-595-1629,"['매일\n10:30 - 21:00\n20:30 라스트오더', '놀라운토요일 323회, 24.07.13.\n2024년 7월 13일\n 즉석떡볶이\n펼쳐보기', '', '', '', '', '', '']"
외양간,서울 동작구 동작대로11길 16 1층,0507-1484-8223,"['월\n15:00 - 24:00', '화\n15:00 - 24:00', '수\n15:00 - 24:00', '목\n15:00 - 24:00', '금\n15:00 - 24:00', '토\n15:00 - 24:00', '일\n15:00 - 23:00']"
목구멍 이수점,서울 동작구 동작대로27길 16-4,0507-1417-1959,"['월\n16:00 - 01:00', '화\n16:00 - 01:00', '수\n16:00 - 01:00', '목\n16:00 - 01:00', '금\n16:00 - 01:00', '토\n12:00 - 23:00', '일\n12:00 - 23:00']"
이수가 본점,서울 동작구 동작대로29가길 30 1층,0507-1348-1372,"['월\n12:00 - 22:00\n14:30 - 16:00 브레이크타임\n21:00 라스트오더', '화\n12:00 - 22:00\n14:30 - 16:00 브레이크타임\n21:00 라스트오더', '수\n12:00 - 22:00\n14:30 - 16:00 브레이크타임\n21:00 라스트오더', '목\n12:00 - 22:00\n14:30 - 16:00 브레이크타임\n21:00 라스트오더', '금\n12:00 - 22:00\n14:30 - 16:00 브레이크타임\n21:00 라스트오더', '토\n12:00 - 22:00\n21:00 라스트오더', '일\n12:00 - 22:00\n21:00 라스트오더', '놀라운토요일 323회, 24.07.13.\n2024년 7월 13일\n 꽃닭볶음탕']"
제주호프,서울 동작구 동작대로27가길 44 1층,0507-1395-0311,"['월\n17:00 - 02:00', '화\n17:00 - 02:00', '수\n17:00 - 02:00', '목\n17:00 - 02:00', '금\n17:00 - 02:00', '토\n17:00 - 02:00', '일\n정기휴무 (매주 일요일)']"
금별맥주 이수역점,서울 동작구 동작대로27나길 21 금별맥주,0507-1365-5809,"['월\n17:00 - 03:00\n02:15 라스트오더', '화\n17:00 - 03:00\n02:15 라스트오더', '수\n17:00 - 03:00\n02:15 라스트오더', '목\n17:00 - 03:00\n02:15 라스트오더', '금\n17:00 - 05:00\n04:15 라스트오더', '토\n15:00 - 05:00\n04:15 라스트오더', '일\n15:00 - 01:00\n00:15 라스트오더']"
육대장 푸줏간 이수역점,서울 동작구 동작대로31길 17 1층,0507-1372-6484,"['월\n10:00 - 21:30', '화\n10:00 - 21:30', '수\n10:00 - 21:30', '목\n10:00 - 21:30', '금\n10:00 - 21:30', '토\n10:00 - 21:30', '일\n10:00 - 21:30', '- 9월29,30 추석 휴무']"
